0,Вднх - is it an exhibition center?
1,Was there a jigsaw in the black star?
2,Is Xiaomi Apple's Competitor?
3,Was there a Kalashnikov in the trenches?
4,Can a car run on gas?
5,Was Princess Diana's car in the dtr?
6,Are there sharks in the Indian Ocean?
7,Is alcohol harmful in the first weeks of pregnancy?
8,Is there an allergy to alcohol?
9,Was he a party to the Berne Convention?
10,Was Leningrad under siege?
11,Is it true that elephants are afraid of mice?
12,Are there marriage certificates in the United States?
13,Did Jesus have brothers?
14,Did Suleiman have brothers?
15,Was there a diamond on the Titanic?
16,Was there a bunin in exile?
17,Was there a riot?
18,Was there a riot in the zone in 1990?
19,Was there a burito in the group of banderos?
20,Did Andrei Bolkonsky have a prototype?
21,Were there gladiators in ancient Italy?
22,Were there really Romeo and Juliet?
23,Were Lenin and Krupskaya married?
24,Were there Tatars in the Golden Horde?
25,Did the Kazakhs have surnames?
26,Were there constitutions in antiquity?
27,Were there any natives in Australia?
28,Did Ural Airlines Have a Crash?
29,Were there horses in America?
30,Were there horses in Japan?
31,Were there hippies in there?
32,Have there been wars in Australia?
33,Did Dostoevsky have children?
34,Did Socrates have children?
35,Did she have children?
36,Did Einstein have children?
37,Were the deer and her grandmother witches?
38,Were the Germans in the Christmas tree?
39,Were the Vikings in Ireland?
40,Were there Vikings in Iceland?
41,Did Frida Kahlo have children?
42,Did s7 have sister airlines?
43,Were the Germans in the Crimea?
44,Did Alexander the Macedonian have children?
45,Were the Germans in Yalta?
46,Were there 28 Panfilov citizens?
47,Were there real rubies in the ssrc?
48,Were there terrorist attacks in the Soviet Union?
49,Did the protagonists of the epic novel have real prototypes?
50,Did the Ottoman have children and Khatun balls?
51,Did Caesar Have Enemies?
52,Were there penalty companies?
53,Did the snake have legs?
54,Were the laws and customs of the Eastern Slavic tribal unions the same?
55,Were the Germans in Odessa?
56,Did the prophet have concubines?
57,Were there really Assasins?
58,Were there fascists in Siberia?
59,Did Maria Stewart have children?
60,Were there any institutions of higher learning in Athens?
61,Were there fascists in Krasnodar?
62,Were there fascists in the shed?
63,Did Churchill have children?
64,Did the Samurai have shields?
65,Did Julius Caesar have children?
66,Is cystitis transmitted domestically?
67,A lot of monuments in Moscow?
68,Are there vitamins in jam?
69,Was Yugoslavia in the Warsaw Pact?
70,Does the Vatican belong to the UN?
71,Did George Washington Have Children?
72,Had a curfew been imposed in Tajikistan?
73,Was a curfew imposed in Paris?
74,Was a curfew imposed in Detroit?
75,Is a wap with nicotine harmful?
76,Is the pregnancy test correct?
77,Did Victor Moses have children?
78,Are there vitamins in compote?
79,Is there a cure?
80,Is it transmitted through oral sex?
81,Was there a war in Australia?
82,Was there a war in Kazakhstan?
83,Was the war in Yaroslavl?
84,Was there a war in Tatarstan?
85,Was there a nuclear war in 1780?
86,Is there a subway in Volgograd?
87,Does the Crow Live in the City?
88,Is WTF transmitted through a condom?
89,Was Pechorin a hero of his time?
90,Is Poland in the EU?
91,Is Germania a part of it?
92,Is Belarus a part of the EU?
93,Is Norway part of the EU?
94,Is Georgia part of the EU?
95,Is Iceland part of it?
96,Is Cyprus part of the EU?
97,Is Russia part of the EU?
98,Is Ukraine a part of the EU?
99,Is Georgia a part of the EU?
100,Is Cyprus part of the EU?
101,Is Finland in the EU?
102,Is Montenegro a part of the EU?
103,Is Sweden part of the EU?
104,Is Moldova in the EU?
105,Is Norway part of Schengen?
106,Is Romania in Schengen?
107,Is the UK part of the EU?
108,Is the UK a member of the EU?
109,Is it a member of the European Union?
110,Is the Swiss a member of the European Union?
111,Is Russia in Europe?
112,Is Russia part of Europe?
113,Is the Swiss a member of the European Union?
114,Is Georgia a Member of the European Union?
115,Is Moldova a member of the European Union?
116,Is the Czech Republic a member of the European Union?
117,Is Iceland part of Schengen?
118,Is Kazakhstan a member of the European Union?
119,Was Khakassia a part of Krasnoyarsk Krai?
120,Is Khakassia a part of Krasnoyarsk Krai?
121,Is India part of the nato?
122,Does Latvia belong to the nato?
123,Is Norway part of the Nato?
124,Is Ukraine part of the nato?
125,Is Georgia part of the nato?
126,Is Islam part of the nato?
127,Is China part of the nato?
128,Is Russia part of the nato?
129,Is Russia a NATO member?
130,Is Finland part of the Nato?
131,Is Russia a Trustee?
132,Is Russia a Unesco member?
133,Is Russia a Member of the European Union?
134,Is Georgia in the mix?
135,Is Montenegro a member of the European Union?
136,Is income tax included in the living wage?
137,Does the length of service count as an education?
138,Is Chechen part of Russia?
139,Is South Ossetia part of Russia?
140,Is Serbia part of Schengen?
141,Does the postfix form the basis of the word?
142,Is the Khmao a part of the Tyumen region?
143,Is Yanao part of the Tyumen region?
144,Is training and the army included in work experience?
145,Is training and service in the army included in the length of service?
146,Is France part of the Nato?
147,Is Sweden in the EU?
148,Does the economically active population include the unemployed?
149,Is South Korea part of the nato?
150,Is Yakutia in the Far East?
151,Is Yakutia a Sibir?
152,Is Japan part of the nato?
153,Is Ammonium Harmful in Baking?
154,Is it true that social benefits are paid?
155,Was there a salamander in Harry Potter?
156,Is hepatitis transmitted from mother to child?
157,Is hepatitis transmitted from mother to fetus?
158,Did Hitler Have a Son?
159,Is Ivanovo's City of Brides True?
160,Was there a Gotzman in Odessa?
161,Has the Gregorian calendar been introduced in Catholic countries?
162,Do Reptiles Have a Breast?
163,Does the snake have a belly?
164,Is it true that a dam broke in China?
165,Did Mary's virgin have a husband?
166,Did Mary's virgin have a husband?
167,Was Tsarist Russia an imperialist power?
168,Do children have an allergy to vitamin D?
169,Is there a conflict between fathers and children?
170,Was there a default in Greece?
171,Was there a default in Ukraine?
172,Was the League of Nations effective?
173,How long have they lived with me?
174,Was Trump One Home 2?
175,Is there alcohol in the homemade kvass?
176,Are yeast in bread harmful?
177,Is perfume harmful to plants?
178,Is Jewishness transmitted through the father?
179,Do Greeks Eat Greek Salad?
180,Do rabbits eat in Australia?
181,Do Europe Eat Soups?
182,Do you eat curd in Europe?
183,Does China Eat Ginger?
184,Do cockroaches eat in China?
185,Do mangoes eat peel?
186,Do cows eat in India?
187,Do you eat seafood on a fast day?
188,Do vegetarians eat fish and seafood?
189,Do Indians eat meat?
190,Do they eat their legs?
191,Do you eat ginger with rolls?
192,Do you eat celery raw?
193,Do you eat khinkali with sauce?
194,Are quince eaten raw?
195,Do you eat broccoli raw?
196,Do they eat the peel of lychee?
197,Do they eat back in draughts?
198,Do vegetarians eat eggs?
199,Do dogs eat in northern Korea?
200,Was Ekaterina 2 married to Potemkin?
201,Does Mars have a phobos satellite?
202,Is it true that the stomach is stretching?
203,Is there an eclectic genre in painting?
204,Is Liquid Harmful for Wap?
205,Did the beetle have a son?
206,Is it true that Gogol was buried alive?
207,Is it true that cockroaches crawl into your ears?
208,Are there atoms with a charge?
209,Is it true that the Titanic sank?
210,Was Paris captured by the Vikings?
211,Is it true that smoking is bad for health?
212,Was it winter in the 18th century?
213,Was it winter before the 19th century?
214,Was it winter before the 19th century?
215,Was it winter in Russia before the 19th century?
216,Are there color lenses for vision?
217,Is it harmful to play games?
218,Was he really a moron?
219,Was there an Internet connection?
220,Is there an Internet in China?
221,And is there civil-law protection of a person's name against distortion?
222,Has a section of the molecule's bottom chain been studied?
223,Was there a matriarchy in history?
