iter	MultiClass
0	1.007213657
1	0.9313018678
2	0.8707205703
3	0.8205200599
4	0.780056281
5	0.7426764262
6	0.7102447103
7	0.6847280174
8	0.6602753268
9	0.6413953721
10	0.6239410048
11	0.6072754444
12	0.5929857456
13	0.581490143
14	0.5702117433
15	0.5604653028
16	0.55249461
17	0.5439454242
18	0.5373967315
19	0.5305462004
20	0.5240211561
21	0.5185382932
22	0.513058099
23	0.5091250104
24	0.5054906432
25	0.5010872704
26	0.4968318348
27	0.4946739098
28	0.4916462836
29	0.4896705334
30	0.4864951216
31	0.4837612572
32	0.4818187319
33	0.4800424358
34	0.4786117369
35	0.4768234203
36	0.4748407419
37	0.4737696609
38	0.4721214367
39	0.4706872729
40	0.4691056692
41	0.4678010433
42	0.4664962621
43	0.4655770106
44	0.4644215391
45	0.463295032
46	0.4620025536
47	0.4615072979
48	0.4601997137
49	0.4593276526
50	0.4586482299
51	0.457880566
52	0.4572504078
53	0.4564020297
54	0.4556835033
55	0.454691724
56	0.453936428
57	0.4534259422
58	0.4525945682
59	0.4519390374
60	0.4513452248
61	0.4507129159
62	0.4502035203
63	0.4496710069
64	0.4492719269
65	0.4487140921
66	0.4484004015
67	0.4481131329
68	0.4473344603
69	0.4468209967
70	0.4463931374
71	0.4459910283
72	0.4454570962
73	0.4450815114
74	0.444659532
75	0.444205852
76	0.4434546846
77	0.4430393163
78	0.4425997559
79	0.4420125413
80	0.4418799152
81	0.4416347783
82	0.4411560969
83	0.4406920466
84	0.4403526077
85	0.4399700889
86	0.4397029181
87	0.4393779652
88	0.4388956568
89	0.4382489914
90	0.438026184
91	0.4375981293
92	0.4372731743
93	0.4370167997
94	0.4364369517
95	0.4359701108
96	0.4356277357
97	0.4349209546
98	0.4347193789
99	0.4339277951
