iter	Passed	Remaining
0	11	1134
1	19	965
2	26	857
3	32	790
4	39	751
5	46	728
6	54	719
7	62	719
8	69	705
9	76	687
10	83	672
11	89	658
12	96	644
13	103	633
14	109	620
15	116	610
16	122	599
17	129	591
18	136	580
19	143	574
20	150	565
21	156	555
22	162	545
23	169	536
24	178	535
25	185	529
26	192	520
27	199	513
28	206	505
29	213	497
30	220	490
31	227	482
32	233	474
33	240	465
34	246	458
35	254	451
36	260	444
37	267	437
38	273	428
39	281	422
40	288	414
41	296	409
42	303	402
43	310	395
44	317	387
45	323	379
46	330	372
47	336	364
48	344	358
49	350	350
50	357	343
51	363	335
52	370	328
53	377	321
54	383	313
55	390	306
56	397	299
57	403	292
58	410	285
59	418	279
60	424	271
61	432	264
62	439	258
63	446	251
64	453	243
65	459	236
66	466	229
67	472	222
68	479	215
69	485	208
70	492	200
71	497	193
72	504	186
73	510	179
74	517	172
75	523	165
76	530	158
77	537	151
78	544	144
79	551	137
80	558	130
81	564	123
82	571	116
83	577	110
84	584	103
85	590	96
86	596	89
87	602	82
88	608	75
89	615	68
90	621	61
91	627	54
92	633	47
93	639	40
94	645	33
95	652	27
96	659	20
97	666	13
98	673	6
99	679	0
