id_el,result_ind,press,temp,hydr,T_steam
21442,0,1.7,19.0,46.0,188.0
21580,1,2.0,21.0,50.0,186.0
20299,0,2.0,21.0,54.0,191.0
21352,0,1.8,23.0,55.0,181.0
21442,2,1.2,19.0,48.0,166.0
21411,0,1.7,21.0,49.0,180.0
21434,0,1.9,21.0,46.0,185.0
20304,0,1.8,20.0,45.0,183.0
20944,0,1.7,21.0,55.0,183.0
20300,3,1.6,23.0,48.0,182.0
20861,4,1.7,18.0,47.0,210.0
21582,3,1.6,20.0,55.0,182.0
20534,0,1.9,23.0,46.0,190.0
20758,0,1.7,22.0,54.0,192.0
21365,3,1.4,18.0,54.0,182.0
21442,5,2.7,20.0,45.0,183.0
20928,0,1.8,21.0,45.0,180.0
21582,0,2.0,23.0,50.0,188.0
20534,6,2.0,22.0,49.0,204.0
20304,7,1.2,23.0,51.0,201.0
20476,8,2.8,19.0,55.0,200.0
21411,0,2.0,18.0,49.0,193.0
21582,3,1.2,19.0,49.0,182.0
20701,3,1.7,20.0,48.0,182.0
20299,0,1.8,22.0,49.0,198.0
20304,1,2.0,20.0,45.0,177.0
21442,0,1.8,21.0,54.0,199.0
21279,9,3.0,21.0,51.0,195.0
20300,0,1.7,18.0,51.0,181.0
21411,0,1.7,18.0,53.0,197.0
21453,4,1.4,18.0,55.0,210.0
21442,6,1.8,21.0,46.0,204.0
20300,3,1.5,19.0,55.0,204.0
20476,6,2.7,19.0,55.0,200.0
21442,0,2.0,22.0,45.0,186.0
20701,0,1.8,22.0,53.0,192.0
20870,0,1.7,18.0,48.0,185.0
20300,3,1.4,21.0,46.0,182.0
21441,0,1.9,19.0,49.0,193.0
20762,4,1.6,20.0,55.0,210.0
20300,0,1.7,23.0,47.0,199.0
20870,0,1.8,22.0,50.0,187.0
20695,1,1.8,20.0,48.0,177.0
21442,0,1.9,23.0,53.0,194.0
20534,6,1.9,18.0,54.0,204.0
20300,7,3.0,20.0,47.0,206.0
20304,10,2.1,19.0,47.0,200.0
21411,0,2.0,23.0,47.0,184.0
21612,0,2.0,18.0,55.0,181.0
21559,0,1.7,20.0,50.0,190.0
20534,3,1.4,21.0,50.0,177.0
21580,1,1.7,20.0,53.0,177.0
21411,1,2.0,18.0,53.0,177.0
20639,11,2.6,18.0,54.0,203.0
20303,0,1.8,19.0,53.0,198.0
20303,3,1.2,20.0,53.0,204.0
21442,3,1.4,19.0,55.0,182.0
21328,4,2.9,20.0,54.0,206.0
20371,3,1.3,21.0,48.0,182.0
21582,0,1.8,18.0,52.0,193.0
20534,0,1.9,18.0,52.0,185.0
21442,0,1.8,20.0,54.0,198.0
21411,9,1.9,20.0,48.0,195.0
20303,9,2.2,18.0,52.0,195.0
20304,0,1.9,22.0,55.0,195.0
20701,0,1.9,22.0,45.0,180.0
20695,0,1.7,18.0,52.0,192.0
20300,0,2.0,21.0,47.0,187.0
21279,0,1.7,22.0,52.0,194.0
21365,12,3.0,20.0,54.0,206.0
21352,6,2.0,20.0,50.0,204.0
20870,6,1.7,21.0,51.0,204.0
21453,4,1.2,22.0,47.0,210.0
20355,0,2.0,23.0,54.0,184.0
20303,1,2.0,18.0,49.0,177.0
20355,0,2.0,19.0,47.0,197.0
21352,0,1.9,19.0,51.0,195.0
20534,6,1.9,23.0,49.0,204.0
21582,6,1.8,23.0,49.0,204.0
20701,0,1.8,23.0,55.0,196.0
20371,6,1.9,23.0,45.0,204.0
21442,0,1.7,20.0,52.0,181.0
21411,0,1.7,23.0,47.0,191.0
20870,6,1.6,23.0,48.0,204.0
20304,0,1.8,21.0,54.0,189.0
20371,13,2.7,18.0,54.0,206.0
20870,0,1.8,23.0,54.0,191.0
20304,14,2.1,21.0,55.0,203.0
20534,0,1.9,20.0,53.0,185.0
21442,0,1.8,18.0,50.0,193.0
20695,0,1.7,23.0,51.0,191.0
20476,3,2.8,19.0,55.0,200.0
21311,3,1.3,22.0,47.0,182.0
21442,0,2.0,19.0,45.0,198.0
21460,0,2.0,21.0,54.0,186.0
20304,15,2.1,21.0,54.0,183.0
20739,0,1.8,20.0,49.0,181.0
20732,0,1.7,18.0,50.0,197.0
20304,6,1.7,18.0,53.0,204.0
20762,13,3.0,21.0,47.0,206.0
21480,1,1.9,22.0,54.0,177.0
20303,1,1.8,23.0,54.0,177.0
21453,0,2.0,20.0,48.0,197.0
21442,1,1.9,21.0,47.0,177.0
20534,3,1.7,21.0,52.0,182.0
21365,4,1.5,21.0,49.0,210.0
20931,3,1.4,18.0,48.0,177.0
21568,0,1.9,20.0,53.0,191.0
21312,0,1.7,18.0,45.0,199.0
21411,0,1.8,21.0,50.0,190.0
21444,6,1.8,22.0,50.0,204.0
21365,4,1.4,19.0,46.0,210.0
21411,0,2.0,21.0,54.0,185.0
21531,4,1.5,20.0,48.0,210.0
20304,3,1.5,19.0,45.0,182.0
21441,0,2.0,20.0,48.0,198.0
