day;temp;hydr
01.01.2023 0:00;19;50
01.01.2023 1:00;22;54
01.01.2023 2:00;18;55
01.01.2023 3:00;18;51
01.01.2023 4:00;18;51
01.01.2023 5:00;18;53
01.01.2023 6:00;22;51
01.01.2023 7:00;20;50
01.01.2023 8:00;21;48
01.01.2023 9:00;21;45
01.01.2023 10:00;21;45
01.01.2023 11:00;19;46
01.01.2023 12:00;21;52
01.01.2023 13:00;18;46
01.01.2023 14:00;18;50
01.01.2023 15:00;20;53
01.01.2023 16:00;21;51
01.01.2023 17:00;20;45
01.01.2023 18:00;20;47
01.01.2023 19:00;18;53
01.01.2023 20:00;23;45
01.01.2023 21:00;20;47
01.01.2023 22:00;23;55
01.01.2023 23:00;20;45
02.01.2023 0:00;19;54
02.01.2023 1:00;22;55
02.01.2023 2:00;21;50
02.01.2023 3:00;21;48
02.01.2023 4:00;20;51
02.01.2023 5:00;22;46
02.01.2023 6:00;22;55
02.01.2023 7:00;23;46
02.01.2023 8:00;22;45
02.01.2023 9:00;23;50
02.01.2023 10:00;21;47
02.01.2023 11:00;18;53
02.01.2023 12:00;21;45
02.01.2023 13:00;19;51
02.01.2023 14:00;18;48
02.01.2023 15:00;21;52
02.01.2023 16:00;22;54
02.01.2023 17:00;22;47
02.01.2023 18:00;21;47
02.01.2023 19:00;19;49
02.01.2023 20:00;18;53
02.01.2023 21:00;22;55
02.01.2023 22:00;22;54
02.01.2023 23:00;22;53
03.01.2023 0:00;22;55
03.01.2023 1:00;22;48
03.01.2023 2:00;19;50
03.01.2023 3:00;20;48
03.01.2023 4:00;23;50
03.01.2023 5:00;23;51
03.01.2023 6:00;18;53
03.01.2023 7:00;23;53
03.01.2023 8:00;23;52
03.01.2023 9:00;23;54
03.01.2023 10:00;23;46
03.01.2023 11:00;18;50
03.01.2023 12:00;20;47
03.01.2023 13:00;20;48
03.01.2023 14:00;21;51
03.01.2023 15:00;22;51
03.01.2023 16:00;18;45
03.01.2023 17:00;19;47
03.01.2023 18:00;18;53
03.01.2023 19:00;20;49
03.01.2023 20:00;22;54
03.01.2023 21:00;20;50
03.01.2023 22:00;18;55
03.01.2023 23:00;18;45
04.01.2023 0:00;18;55
04.01.2023 1:00;18;52
04.01.2023 2:00;19;49
04.01.2023 3:00;23;50
04.01.2023 4:00;18;55
04.01.2023 5:00;20;54
04.01.2023 6:00;19;46
04.01.2023 7:00;22;48
04.01.2023 8:00;21;50
04.01.2023 9:00;21;47
04.01.2023 10:00;22;52
04.01.2023 11:00;22;51
04.01.2023 12:00;23;50
04.01.2023 13:00;21;55
04.01.2023 14:00;21;54
04.01.2023 15:00;20;45
04.01.2023 16:00;22;53
04.01.2023 17:00;19;50
04.01.2023 18:00;19;47
04.01.2023 19:00;18;47
04.01.2023 20:00;18;48
04.01.2023 21:00;22;51
04.01.2023 22:00;19;48
04.01.2023 23:00;19;51
05.01.2023 0:00;18;51
05.01.2023 1:00;21;52
05.01.2023 2:00;23;47
05.01.2023 3:00;20;47
05.01.2023 4:00;21;50
05.01.2023 5:00;21;45
